Time,Front,Left,Right,Back,Up,X,Y,Battery
1724838071.141431,1.16,2.375,,0.311,,1.8693491220474243,-0.22345088422298431,100
1724838071.2454479,1.218,,,0.308,,1.7810364961624146,-0.15158137679100037,100
1724838071.345653,,,,0.385,,1.0544698238372803,0.14509771764278412,100
1724838071.448229,,,0.129,,,-0.9119769930839539,1.5240362882614136,100
1724838071.5483499,,,,0.184,,-1.6074085235595703,1.848181962966919,100
1724838071.6485279,,,,0.109,,-0.021422890946269035,0.016173984855413437,100
1724838073.501745,0.012,0.023,0.016,0.028,0.007,-0.003435935126617551,-0.028304150328040123,100
1724838077.103185,0.013,0.02,0.017,0.027,0.005,-0.0005565310711972415,-0.1612376868724823,100
1724838080.7049751,0.009,0.019,0.018,0.028,0.005,-1.3007428646087646,1.5873584747314453,100
1724838084.30983,0.015,0.021,0.019,0.028,0.006,0.6394784450531006,6.327272891998291,100
1724838087.915116,0.011,0.022,0.02,0.027,0.006,0.9982261061668396,-7.484742641448975,100
1724838091.520791,0.013,0.024,0.013,0.027,0.004,0.2610625922679901,1.4488657712936401,100
1724838095.122283,0.027,0.025,0.018,0.028,0.006,-2.184305191040039,2.9060544967651367,100
1724838098.725984,0.028,0.025,0.017,0.027,0.007,-0.6695760488510132,7.200393199920654,100
1724838102.329428,0.028,0.026,0.015,0.03,0.008,-7.081583316903561e-05,-0.00033248966792598367,100
